DomainIdentityInPage,DomainIdentityInCopyright,DomainIdentityInCanonical,DomainIdentityInAlternate,ForeignHyperlinks,VoidHyperlinkRatio,ForeignFormHandler,IPInURL,NumericFQDN,NumericPath,DomainEncoding,PathEncodedCharacters,RedirectionalChar,OutPositionedDomain,NoDotsFQDN,NoDotsPath,NonStandardPort,ObfuscationCharFQDN,ObfuscationCharPath,NoOfSlash,NoOfCharFQDN,NoOfCharPath,ShortURL,SubdomainService,DomainNameValidity,DomainAge,FHDomainValidity,FHDomainAge,SSLCertificateType,SSLGeoCountryMatch,URLSearchEngineRanking,DomainSearchEngineRanking,FQDNSearchEngineRanking,FQDNBlacklistIPCounts,DomainBlacklistIPCounts,Class
29,No,Yes,Yes,Yes,0.08,Internal,No,0,1,No,0,No,No,2,1,Null,0,1,5,24,31,No,No,Yes,7695,Yes,7695,EV,Yes,Yes,Yes,Yes,0,0,Legitimate
111,Yes,Yes,Yes,Yes,0.07,Internal,No,0,1,No,0,No,No,2,0,Null,1,3,4,18,16,No,No,Yes,8334,Yes,8334,OV,Yes,No,Yes,Yes,0,0,Legitimate
16,Null,Null,Null,Yes,0.11,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,4,14,6,No,No,Unknown,-1,Unknown,-1,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
0,Null,Null,Null,Yes,0,Internal,No,0,1,No,0,No,No,3,0,Null,0,0,4,20,14,No,No,Yes,1989,Yes,1989,DV,Yes,Yes,Yes,Yes,0,0,Legitimate
176,Null,Null,Null,Yes,0,Internal,No,0,6,No,0,No,Yes,2,2,Null,0,3,3,19,92,No,No,Yes,8164,Yes,8164,DV,Unknown,No,Yes,Yes,0,2,Legitimate
42,Yes,Null,Null,Yes,0.1,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,13,12,No,No,Yes,8650,Yes,8650,EV,Yes,Yes,Yes,Yes,0,0,Legitimate
14,No,Yes,No,Yes,0,Internal,No,0,0,No,0,No,No,3,0,Null,0,2,4,21,41,No,No,Yes,2768,Yes,2768,OV,No,Yes,Yes,Yes,0,0,Legitimate
20,Yes,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,16,9,No,No,Yes,6290,Yes,6290,OV,No,Yes,Yes,Yes,2,5,Legitimate
183,Null,Null,Null,Yes,0,Internal,No,0,11,No,0,No,Yes,2,2,Null,0,10,3,19,142,No,No,Yes,8164,Yes,8164,DV,Unknown,No,Yes,No,0,2,Legitimate
177,Yes,Yes,Null,Yes,0.2,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,12,7,No,No,Yes,8937,Yes,8937,OV,No,Yes,Yes,Yes,0,0,Legitimate
27,No,Yes,Yes,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,4,16,16,No,No,Yes,6290,Yes,6290,OV,No,Yes,Yes,Yes,2,5,Legitimate
76,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,15,0,No,No,Yes,9135,Yes,9135,OV,No,Yes,Yes,Yes,0,0,Legitimate
534,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,12,6,No,No,Yes,5885,Yes,5885,OV,No,Yes,Yes,Yes,0,0,Legitimate
115,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,3,14,0,No,No,Yes,6566,Yes,6566,OV,No,Yes,Yes,Yes,0,0,Legitimate
114,Null,Yes,Null,Yes,0.47,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,14,9,No,No,Yes,7496,Yes,7496,EV,No,Yes,Yes,Yes,0,0,Legitimate
41,No,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,3,14,0,No,No,Yes,9029,Yes,9029,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
20,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,18,6,No,No,Yes,5429,Yes,5429,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
52,No,Null,Null,Yes,0.54,Internal,No,0,1,No,0,No,No,3,1,Null,0,1,4,13,16,No,No,Yes,9029,Yes,9029,OV,No,Yes,Yes,Yes,0,0,Legitimate
9,Yes,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,4,26,6,No,No,Yes,5247,Yes,5247,DV,No,Yes,Yes,Yes,0,0,Legitimate
67,Yes,Null,Null,Yes,0.06,Internal,No,0,90,No,4,No,Yes,3,26,Null,0,25,5,18,572,No,No,Unknown,-1,Unknown,-1,DV,No,No,No,No,0,0,Legitimate
43,Null,Null,Null,Yes,0,Internal,No,0,6,No,0,No,Yes,3,3,Null,0,4,3,21,100,No,No,Yes,9213,Yes,9213,DV,Unknown,No,Yes,Yes,0,0,Legitimate
23,Yes,Yes,Null,Yes,0.43,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,5,14,25,No,No,Yes,6566,Yes,6566,EV,Yes,Yes,Yes,Yes,0,0,Legitimate
181,Null,Null,Null,Yes,0.06,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,11,7,No,No,Yes,6383,Yes,6383,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
111,Yes,Yes,Yes,Yes,0.07,Internal,No,0,3,No,0,No,No,2,0,Null,0,9,4,16,40,No,No,Yes,8334,Yes,8334,OV,Yes,No,Yes,Yes,0,0,Legitimate
173,Null,Null,Null,Yes,0,Internal,No,0,6,No,0,No,Yes,2,2,Null,0,6,3,19,115,No,No,Yes,8164,Yes,8164,DV,Unknown,No,No,No,0,2,Legitimate
254,Yes,Yes,Null,Yes,0.09,Internal,No,0,0,No,0,No,No,2,0,Null,0,2,4,13,22,No,No,Yes,9170,Yes,9170,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
38,Null,Null,Null,Yes,0,Internal,No,0,2,No,0,No,No,2,0,Null,0,3,3,17,61,No,No,Yes,5850,Yes,5850,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
31,No,Null,Null,Yes,0.06,Internal,No,0,1,No,1,No,No,2,0,Null,0,1,5,13,40,No,No,Yes,4540,Yes,4540,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
65,Yes,Null,Yes,Yes,0.01,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,3,14,5,No,No,Yes,2403,Yes,2403,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
6,No,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,4,0,Null,0,0,4,30,17,No,No,Unknown,-1,Unknown,-1,Null,No,Yes,Yes,Yes,0,0,Legitimate
220,Null,Yes,Yes,Yes,0.05,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,3,13,0,No,No,Yes,7264,Yes,7264,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
16,Null,No,No,Yes,0.45,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,3,16,0,No,No,Yes,892,Yes,892,EV,No,Yes,Yes,Yes,0,0,Legitimate
103,Yes,Yes,Yes,Yes,0.03,Internal,No,0,1,No,0,No,No,2,0,Null,0,3,6,16,28,No,No,Yes,8334,Yes,8334,OV,Yes,No,Yes,Yes,0,0,Legitimate
111,Yes,Yes,Yes,Yes,0.07,Internal,No,0,1,No,0,No,No,2,0,Null,0,9,4,16,32,No,No,Yes,8334,Yes,8334,OV,Yes,No,Yes,Yes,0,0,Legitimate
39,No,Yes,Null,Yes,0.02,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,14,6,No,No,Yes,4537,Yes,4537,Null,No,Yes,Yes,Yes,0,0,Legitimate
183,Null,Null,Null,Yes,0,Internal,No,0,23,No,5,No,Yes,2,2,Null,0,9,3,19,201,No,No,Yes,8164,Yes,8164,DV,Unknown,No,No,No,0,2,Legitimate
200,Yes,Yes,Yes,Yes,0.12,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,17,0,No,No,Yes,3146,Yes,3146,Null,No,Yes,Yes,Yes,0,0,Legitimate
62,Yes,Yes,Yes,Yes,0.03,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,16,6,No,No,Yes,3126,Yes,3126,EV,Yes,Yes,Yes,Yes,0,0,Legitimate
343,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,15,3,No,No,Yes,8107,Yes,8107,OV,No,Yes,Yes,Yes,0,0,Legitimate
111,Yes,Yes,Yes,Yes,0.07,Internal,No,0,1,No,0,No,No,2,0,Null,0,3,4,16,20,No,No,Yes,8334,Yes,8334,OV,Yes,No,Yes,Yes,0,0,Legitimate
0,Null,Null,Null,Yes,0,Internal,No,0,1,No,0,No,No,2,0,Null,0,0,4,16,14,No,No,Yes,1989,Yes,1989,DV,Yes,No,Yes,Yes,0,0,Legitimate
32,No,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,3,0,Null,0,1,4,26,16,No,No,Yes,6268,Yes,6268,EV,No,Yes,Yes,Yes,0,0,Legitimate
47,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,13,5,No,No,Yes,8918,Yes,8918,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
17,Yes,Null,Null,Yes,0.24,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,3,18,0,No,No,Yes,9050,Yes,9050,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
135,Yes,Yes,Null,Yes,0.02,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,3,7,6,No,No,Yes,6482,Yes,6482,DV,Yes,Yes,Yes,Yes,0,0,Legitimate
9,Yes,Null,Null,Yes,0.12,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,6,19,26,No,No,Yes,8250,Yes,8250,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
7,No,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,4,14,10,No,No,Yes,3438,Yes,3438,Null,No,Yes,Yes,Yes,0,0,Legitimate
10,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,17,11,No,No,Unknown,-1,Unknown,-1,Null,No,Yes,Yes,Yes,0,0,Legitimate
28,Null,Null,No,Yes,0.03,External,No,0,0,No,0,No,No,2,0,Null,0,2,4,17,16,No,No,Yes,4717,Yes,5027,Null,No,Yes,Yes,Yes,0,0,Legitimate
40,Yes,Yes,Null,Yes,0.07,Internal,No,0,0,No,0,No,Yes,4,0,Null,0,0,4,22,15,No,No,Yes,7426,Yes,7426,EV,No,Yes,Yes,Yes,0,0,Legitimate
154,Null,Yes,Null,Yes,0.05,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,14,13,No,No,Yes,8164,Yes,8164,DV,Unknown,Yes,Yes,Yes,0,3,Legitimate
11,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,3,1,Null,0,0,3,37,9,No,No,Yes,6027,Yes,6027,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
47,Yes,Yes,Null,Yes,0.53,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,5,9,13,No,No,Yes,7090,Yes,7090,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
59,Yes,Null,Null,Yes,0.07,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,4,14,14,No,No,Yes,7801,Yes,7801,OV,No,Yes,Yes,Yes,0,0,Legitimate
230,Yes,Yes,Yes,Yes,0,External,No,0,0,No,0,No,No,2,0,Null,0,1,6,15,23,No,No,Yes,8033,Yes,7778,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
119,Null,Null,Null,Yes,0.08,Internal,No,0,21,No,1,No,Yes,2,5,Null,0,5,4,11,217,No,No,Yes,10079,Yes,10079,EV,No,No,No,No,0,0,Legitimate
26,No,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,21,9,No,No,Yes,9500,Yes,9500,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
150,Yes,Yes,Null,Yes,0.05,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,14,14,No,No,Yes,7496,Yes,7496,EV,No,Yes,Yes,Yes,0,0,Legitimate
1006,Null,Null,Null,Yes,0.02,Internal,No,0,2,No,0,No,No,2,0,Null,0,2,3,9,21,No,No,Yes,8152,Yes,8152,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
176,Null,Null,Null,Yes,0,Internal,No,0,6,No,0,No,Yes,2,2,Null,0,5,3,19,101,No,No,Yes,8164,Yes,8164,DV,Unknown,No,Yes,Yes,0,2,Legitimate
69,Yes,Null,Yes,Yes,0,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,3,11,10,No,No,Yes,7275,Yes,7275,Null,No,Yes,Yes,Yes,0,0,Legitimate
1077,Yes,Yes,Null,Yes,0,External,No,0,0,No,0,No,No,2,0,Null,0,0,4,12,6,No,No,Yes,8340,Unknown,-1,OV,No,Yes,Yes,Yes,0,0,Legitimate
2,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,3,27,10,No,No,Yes,2350,Yes,2350,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
0,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,26,0,No,No,Yes,2919,Yes,2919,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
79,No,Null,Yes,Yes,0.11,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,4,11,6,No,No,Yes,815,Yes,815,Null,No,Yes,Yes,Yes,0,0,Legitimate
69,No,Yes,Null,Yes,0.09,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,7,20,26,No,No,Yes,8873,Yes,8873,OV,No,Yes,Yes,Yes,0,0,Legitimate
234,Yes,Yes,No,Yes,0.01,Internal,No,0,0,No,0,No,No,3,1,Null,0,1,3,19,30,No,No,Yes,7258,Yes,7258,DV,No,Yes,Yes,Yes,0,0,Legitimate
18,Yes,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,20,0,No,No,Yes,3672,Yes,3672,OV,No,Yes,Yes,Yes,0,0,Legitimate
4,No,Null,Null,Yes,0,Internal,No,0,1,No,1,No,No,3,2,Null,0,1,3,31,56,No,No,Unknown,-1,Unknown,-1,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
176,Null,Null,Null,Yes,0,Internal,No,0,6,No,0,No,Yes,2,2,Null,0,4,3,19,98,No,No,Yes,8165,Yes,8165,DV,Unknown,No,Yes,Yes,0,2,Legitimate
185,Null,Null,Null,Yes,0,Internal,No,0,14,No,0,No,Yes,2,4,Null,0,10,3,19,210,No,No,Yes,8165,Yes,8165,DV,Unknown,No,No,No,0,2,Legitimate
19,Null,Null,Null,Yes,0.14,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,15,10,No,No,Yes,5023,Yes,5023,OV,No,Yes,Yes,Yes,0,0,Legitimate
874,Yes,Yes,Yes,Yes,0.09,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,11,0,No,No,Yes,4073,Yes,4073,DV,No,Yes,Yes,Yes,0,0,Legitimate
131,Yes,Yes,Yes,Yes,0.03,Internal,No,0,13,No,0,No,Yes,2,6,Null,0,7,4,16,162,No,No,Yes,8335,Yes,8335,OV,Yes,No,Yes,Yes,0,0,Legitimate
168,Yes,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,3,15,0,No,No,Unknown,-1,Unknown,-1,OV,No,Yes,Yes,Yes,0,0,Legitimate
14,Null,Null,Null,Yes,0.1,Internal,No,0,0,No,0,No,No,2,0,Null,0,2,4,16,19,No,No,Unknown,-1,Unknown,-1,DV,No,Yes,Yes,Yes,0,0,Legitimate
504,No,Yes,Null,Yes,0.11,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,19,24,No,No,Yes,7635,Yes,7635,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
10,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,1,Null,0,1,5,24,23,No,No,Yes,7635,Yes,7635,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
87,Null,Null,Null,Yes,0.12,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,4,18,23,No,No,Yes,7635,Yes,7635,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
176,Null,Null,Null,Yes,0,Internal,No,0,6,No,0,No,Yes,2,2,Null,0,5,3,19,138,No,No,Yes,8165,Yes,8165,DV,Unknown,No,No,No,0,2,Legitimate
111,Yes,Yes,Yes,Yes,0.07,Internal,No,0,1,No,0,No,No,2,0,Null,0,9,4,16,32,No,No,Yes,8335,Yes,8335,OV,Yes,No,Yes,Yes,0,0,Legitimate
155,Yes,Yes,Yes,Yes,0.12,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,13,0,No,No,Yes,7238,Yes,7238,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
218,Null,Null,Null,Yes,0.12,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,11,5,No,No,Yes,8042,Yes,8042,Null,No,Yes,Yes,Yes,0,0,Legitimate
12,No,Null,Yes,Yes,0.05,Internal,No,0,0,No,0,No,No,1,1,Null,0,0,4,20,17,No,No,Yes,520,Yes,520,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
0,Null,Null,Null,Yes,0.25,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,4,14,17,No,No,Unknown,-1,Unknown,-1,EV,No,Yes,Yes,Yes,0,0,Legitimate
21,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,4,1,Null,0,1,4,22,19,No,No,Yes,6194,Yes,6194,DV,Yes,No,Yes,Yes,0,0,Legitimate
30,No,Null,Null,Yes,0.97,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,5,16,19,No,No,Yes,10355,Yes,10355,EV,Yes,No,Yes,Yes,0,0,Legitimate
8,No,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,23,5,No,No,Yes,986,Yes,986,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
14,Yes,Null,Null,Yes,0.1,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,24,10,No,No,Yes,6051,Yes,6051,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
53,Yes,Null,Null,Yes,0.07,Internal,No,0,97,No,6,No,Yes,2,25,Null,0,22,5,14,563,No,No,Yes,9214,Yes,9214,OV,No,No,No,No,0,0,Legitimate
12,Yes,Null,Null,Yes,0.04,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,17,19,No,No,Yes,6010,Yes,6010,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
128,Null,Yes,Yes,Yes,0.38,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,15,5,No,No,Yes,4938,Yes,4938,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
44,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,6,22,22,No,No,Unknown,-1,Unknown,-1,OV,No,No,Yes,Yes,0,0,Legitimate
23,Null,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,4,12,10,No,No,Yes,4326,Yes,4326,OV,No,Yes,Yes,Yes,0,0,Legitimate
19,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,1,0,Null,0,0,4,14,6,No,No,Yes,671,Yes,671,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
22,Null,Null,Null,Yes,0.06,Internal,No,0,0,No,0,No,No,3,0,Null,0,0,3,22,0,No,No,Yes,7898,Yes,7898,DV,No,Yes,Yes,Yes,0,0,Legitimate
25,Yes,Yes,Null,Yes,0.09,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,4,17,12,No,No,Yes,6254,Yes,6254,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
110,Null,Null,Yes,Yes,0.01,External,No,0,0,No,0,No,No,1,0,Null,0,1,4,8,13,No,No,Yes,9075,Yes,3612,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
5,Yes,Null,Null,Yes,0.03,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,21,10,No,No,Yes,6705,Yes,6705,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
54,No,Yes,Null,Yes,0.03,Internal,No,0,0,No,0,No,No,2,0,Null,0,1,3,19,7,No,No,Yes,6287,Yes,6287,OV,No,Yes,Yes,Yes,0,0,Legitimate
29,Yes,Null,Null,Yes,0.2,Internal,No,0,1,No,0,No,No,2,0,Null,0,5,5,21,62,No,No,Yes,8246,Yes,8246,OV,Yes,No,Yes,Yes,0,0,Legitimate
24,Yes,Null,Null,Yes,0.04,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,4,17,18,No,No,Yes,6981,Yes,6981,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
25,Null,Null,Null,Yes,0.17,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,3,16,10,No,No,Yes,7231,Yes,7231,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
131,Null,Yes,Yes,Yes,0.16,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,12,6,No,No,Yes,5830,Yes,5830,OV,No,Yes,Yes,Yes,0,0,Legitimate
132,Null,Yes,Yes,Yes,0.17,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,12,4,No,No,Yes,5830,Yes,5830,OV,No,Yes,Yes,Yes,0,0,Legitimate
67,Yes,Null,Null,Yes,0.07,Internal,No,0,207,No,46,No,No,2,25,Null,0,21,5,16,702,No,No,Yes,9214,Yes,9214,DV,Unknown,No,No,No,0,0,Legitimate
253,Yes,Null,Null,Yes,0.07,Internal,No,0,0,No,0,No,No,2,0,Null,0,3,12,11,70,No,No,Yes,7934,Yes,7934,OV,No,Yes,Yes,Yes,0,0,Legitimate
14,No,Null,Yes,Yes,0.32,Internal,No,1,1,No,0,No,No,2,1,Null,0,0,6,18,37,No,No,Yes,7112,Yes,7112,EV,Yes,Yes,Yes,Yes,0,1,Legitimate
3,No,Null,Null,Yes,0.75,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,33,0,No,No,Yes,5224,Yes,5224,DV,Unknown,Yes,Yes,Yes,0,3,Legitimate
32,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,5,28,19,No,No,Yes,9432,Yes,9432,Null,No,Yes,Yes,Yes,0,0,Legitimate
209,Null,Yes,Null,Yes,0.01,External,No,0,0,No,0,No,No,2,0,Null,0,1,7,14,30,No,No,Yes,8165,Yes,3354,DV,Unknown,No,Yes,Yes,21,2,Legitimate
5,No,Null,Null,Yes,0.11,Internal,No,0,0,No,0,No,No,2,1,Null,0,0,3,17,10,No,No,Yes,4291,Yes,4291,DV,Unknown,Yes,Yes,Yes,0,0,Legitimate
31,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,15,5,No,No,Yes,2499,Yes,2499,OV,Yes,Yes,Yes,Yes,0,2,Legitimate
323,Yes,Yes,Yes,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,14,3,No,No,Yes,8586,Yes,8586,OV,No,Yes,Yes,Yes,0,0,Legitimate
106,Null,Null,Null,Yes,0.06,Internal,No,0,0,No,0,No,No,2,0,Null,2,0,5,28,32,No,No,Yes,1391,Yes,1391,Null,No,Yes,Yes,Yes,0,0,Legitimate
0,No,Null,Null,Yes,0.11,Internal,No,0,0,No,0,No,Yes,2,3,Null,0,0,3,22,22,No,No,No,1095,No,1095,Null,No,Yes,Yes,Yes,0,0,Legitimate
0,No,Null,Null,Yes,0.16,Internal,No,0,0,No,0,No,Yes,2,3,Null,0,0,3,22,24,No,No,No,1095,No,1095,Null,No,Yes,Yes,Yes,0,0,Legitimate
88,Yes,Null,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,4,15,13,No,No,Yes,9100,Yes,9100,OV,No,Yes,Yes,Yes,0,0,Legitimate
10,No,Yes,Null,Yes,0,Internal,No,0,0,No,0,No,No,2,0,Null,0,0,3,27,5,No,No,Yes,4689,Yes,4689,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
104,Null,Null,Null,Yes,0.06,Internal,No,0,0,No,0,No,No,2,0,Null,2,0,5,28,31,No,No,Yes,1391,Yes,1391,Null,No,Yes,Yes,Yes,0,0,Legitimate
105,Null,Null,Null,Yes,0.06,Internal,No,0,1,No,0,No,No,2,0,Null,2,0,5,28,41,No,No,Yes,1391,Yes,1391,Null,No,Yes,Yes,Yes,0,0,Legitimate
11,No,Null,Null,Yes,0.08,Internal,No,0,0,No,0,No,Yes,3,0,Null,0,1,5,29,29,No,No,Yes,9766,Yes,9766,EV,Yes,Yes,Yes,Yes,0,0,Legitimate
9,No,Null,Null,Yes,0,Internal,No,0,0,No,0,No,Yes,3,0,Null,0,0,4,26,10,No,No,Yes,9766,Yes,9766,OV,Yes,Yes,Yes,Yes,0,0,Legitimate
